disorder_id,name,orpha_code,definition,prevalence_geo
369,Isolated complex I deficiency,2609,"Isolated complex I deficiency is a rare inborn error of metabolism due to mutations in nuclear or mitochondrial genes encoding subunits or assembly factors of the human mitochondrial complex I (NADH: ubiquinone oxidoreductase) and is characterized by a wide range of manifestations including marked and often fatal lactic acidosis, cardiomyopathy, leukoencephalopathy, pure myopathy and hepatopathy with tubulopathy. Among the numerous clinical phenotypes observed are Leigh syndrome, Leber hereditary optic neuropathy and MELAS syndrome (see these terms).",Unknown
17940,Polyneuropathy-hearing loss-ataxia-retinitis pigmentosa-cataract syndrome,171848,"Fiskerstrand type peripheral neuropathy is a slowly-progressive Refsum-like disorder associating signs of peripheral neuropathy with late-onset hearing loss, cataract and pigmentary retinopathy that become evident during the third decade of life.",Worldwide=<1 / 1 000 000
659,Retinitis pigmentosa,791,Retinitis pigmentosa (RP) is an inherited retinal dystrophy leading to progressive loss of the photoreceptors and retinal pigment epithelium and resulting in blindness usually after several decades.,"Europe=1-5 / 10 000;Worldwide=1-5 / 10 000;Denmark=1-5 / 10 000;Norway=1-5 / 10 000;United States=1-5 / 10 000;United Kingdom=1-5 / 10 000;China=1-5 / 10 000;Slovenia=1-5 / 10 000;Korea, Republic of=1-5 / 10 000"
732,Autosomal recessive primary microcephaly,2512,Autosomal recessive primary microcephaly (MCPH) is a rare genetically heterogeneous disorder of neurogenic brain development characterized by reduced head circumference at birth with no gross anomalies of brain architecture and variable degrees of intellectual impairment.,Unknown
954,Seckel syndrome,808,"A rare form of microcephalic primordial dwarfism characterized by a proportionate dwarfism of prenatal onset, a severe microcephaly, a typical dysmorphic face (bird-like), and mild to severe intellectual disability.",Worldwide=<1 / 1 000 000
2824,Senior-Loken syndrome,3156,"A rare autosomal recessive oculo-renal ciliopathy characterized by the association of nephronophthisis (NPHP), a chronic kidney disease, with retinal dystrophy.",Worldwide=<1 / 1 000 000
3244,Bardet-Biedl syndrome,110,"A rare genetic multisystem disorder characterized by the variable association of retinal dystrophy, obesity, polydactyly, genitourinary and kidney anomalies, learning disability and hypogonadism, with a wide spectrum of other minor manifestations.",Specific population=1-9 / 100 000;Tunisia=1-9 / 1 000 000;United States=1-9 / 100 000
11067,Wolman disease,75233,"A severe form of lysosomal acid lipase deficiency characterized by rapidly progressive lipid accumulation in organs and tissues that presents in the neonatal or infantile period with massive hepatosplenomegaly, liver failure, diarrhea/steatorrhea and vomiting.",Unknown
11068,Cholesteryl ester storage disease,75234,"A form of lysosomal acid lipase deficiency characterized by progressive cholesterol esters and triglyceride accumulation in tissues and organs typically presenting with hepatosplenomegaly, liver dysfunction and/or dyslipidemia.",Specific population=1-9 / 1 000 000
2465,Ochoa syndrome,2704,Ochoa syndrome is characterized by the association of severe voiding dysfunction and a characteristic facial expression.,Unknown
8775,Hereditary pheochromocytoma-paraganglioma,29072,"A rare, hereditary, pheochromocytoma/paraganglioma tumor arising from neuroendocrine chromaffin cells of the adrenal medulla (pheochromocytoma) or from any paraganglia from the skull base to the pelvic floor (paraganglioma). Clinical manifestations are often linked to excess catecholamines production causing sustained or paroxysmal elevations in blood pressure, headache, episodic profuse sweating, palpitations, pallor and apprehension or anxiety. Hereditary pheochromocytoma/paraganglioma tumors tend to present at younger ages, to be multi-focal, bilateral, and recurrent, or to have multiple synchronous neoplasms.",Europe=1-9 / 1 000 000
2459,Arthrogryposis-renal dysfunction-cholestasis syndrome,2697,"A rare, multisystem disorder, characterized by neurogenic arthrogryposis multiplex congenita, renal tubular dysfunction and neonatal cholestasis with low serum gamma-glutamyl transferase activity.",Worldwide=<1 / 1 000 000
12047,Autosomal recessive non-syndromic sensorineural deafness type DFNB,90636,,Unknown
28755,RFVT3-related riboflavin transporter deficiency,572550,,Worldwide=<1 / 1 000 000
3349,Gyrate atrophy of choroid and retina,414,"Gyrate atrophy of the choroid and retina (GACR) is a very rare, inherited retinal dystrophy, characterized by progressive chorioretinal atrophy, myopia and early cataract.",Finland=1-9 / 100 000
1727,Prolidase deficiency,742,"Prolidase deficiency is an inherited disorder of peptide metabolism characterized by severe skin lesions, recurrent infections (involving mainly the skin and respiratory system), dysmorphic facial features, variable cognitive impairment, and splenomegaly.",Unknown
3290,Hereditary methemoglobinemia,621,A rare red cell disorder classified principally into two clinical phenotypes: autosomal recessive congenital (or hereditary) methemoglobinemia types I and II (RCM/RHM type 1; RCM/RHM type 2).,Unknown
3253,Xeroderma pigmentosum,910,"Xeroderma pigmentosum (XP) is a rare genodermatosis characterized by extreme sensitivity to ultraviolet (UV)-induced changes in the skin and eyes, and multiple skin cancers. It is subdivided into 8 complementation groups, according to the affected gene: classical XP (XPA to XPG) and XP variant (XPV) (see these terms).",United States=1-9 / 1 000 000;Japan=1-9 / 100 000
665,Primary ciliary dyskinesia,244,"A rare, genetically heterogeneous, primarily respiratory disorder characterized by chronic upper and lower respiratory tract disease. Approximately half of the patients have an organ laterality defect (situs inversus totalis or situs ambiguus/heterotaxy).",Pakistan=1-5 / 10 000
1631,Desbuquois syndrome,1425,"Desbuquois syndrome (DBQD) is an osteochondrodysplasia characterized by severe micromelic dwarfism, facial dysmorphism, joint laxity with multiple dislocations, vertebral and metaphyseal abnormalities and advanced carpotarsal ossification. Two forms have been distinguished on the basis of the presence (type 1) or the absence (type 2) of characteristic hand anomalies. A variant form of DBQD, Kim variant (see these terms), has also been described and is characterized by short stature and articular, minor facial and significant hand anomalies.",Worldwide=<1 / 1 000 000
17611,Von Willebrand disease type 1,166078,"A form of von Willebrand disease (VWD) characterized by a bleeding disorder associated with a partial, quantitative plasmatic deficiency of an otherwise structurally and functionally normal von Willebrand factor (VWF).",Europe=1-5 / 10 000
17613,Von Willebrand disease type 2A,166084,"A subtype of type 2 von Willebrand disease characterized by a bleeding disorder associated with a decrease in the affinity of the Willebrand factor (VWF) for platelets and the subendothelium caused by a deficiency of high molecular weight VWF multimers. The disease manifests as mucocutaneous bleeding (menorrhagia, epistaxis, gastrointestinal hemorrhage, etc.).",Unknown
17614,Von Willebrand disease type 2B,166087,"A subtype of type 2 von Willebrand disease characterized by a bleeding disorder associated with increased affinity of the Willebrand factor (VWF) for platelets leading to rapid clearance of both the platelets (increasing the risk of thrombocytopenia) and VWF from the plasma. The disease manifests as mucocutaneous bleeding (menorrhagia, epistaxis, gastrointestinal hemorrhage, etc.).",Unknown
