hpo_id	hpo_name	comment	definition_x
HP:0025114	Hypergranulosis	Note that the epidermis includes five main layers: the stratum corneum, stratum lucidium, stratum granulosum, stratum spinosum, and stratum germinativum. This term refers to thickening that primarily affects the stratum granulosum.	Hypergranulosis is an increased thickness of the stratum granulosum. []
HP:0001760	Abnormal foot morphology	A disorder of the foot that can either be congenital or acquired. Such deformities can include hammer toe, club foot deformity, flat feet, pes cavus, congenital vertical talus (rocker bottom foot), and many others.	An abnormality of the skeleton of foot. [https://orcid.org/0000-0002-0736-9199]
HP:0025092	Epidermal acanthosis	Note that we use the prefered label 'Epidermal acanthocytosis' to distinguish this term from acanthocytosis of red blood cells.	Diffuse hypertrophy or thickening of the stratum spinosum of the epidermis (prickle cell layer of the skin). []
HP:0002817	Abnormality of the upper limb		An abnormality of the arm. [https://orcid.org/0000-0002-0736-9199]
HP:0002814	Abnormality of the lower limb		An abnormality of the leg. [https://orcid.org/0000-0002-0736-9199]
HP:0001596	Alopecia		A noncongenital process of hair loss, which may progress to partial or complete baldness. [PMID:14676077]
HP:0008064	Ichthyosis	The ichthyoses are a group of skin diseases characterized by drying and scaling of skin with the accumulation of thick scales and cracks that may be painful or bleed. The abnormality in ichthyosis lies in am imbalance in the normal lifecycle of skin in which growth is matched with dying and shedding of skin cells. In ichthyosis, skin cells reproduce at a rate faster than dead skin cells can be shed or reproduce at a normal rate with a reduction in the rate of shedding. Either abnormality leads to a build up of dry and scaly skin. Note that this term refers to the morphological abnormality of the skin and not the disorder.	An abnormality of the skin characterized the presence of excessive amounts of dry surface scales on the skin resulting from an abnormality of keratinization. [https://orcid.org/0000-0002-0736-9199]
HP:0009775	Amniotic constriction ring	Pseudoainhum is a rare condition of unknown etiology that produces digital constricting rings, most commonly on the small fingers.	Annular constrictions around the digits, limbs, or trunk, occurring congenitally (sometimes causing intrauterine autoamputation) and also associated with a wide variety of disorders. Constrictive amniotic bands are the result of primary amniotic rupture, which can lead to entanglement of fetal tissue (especially limbs) in fibrous amniotic strands. [https://orcid.org/0000-0002-0736-9199]
HP:0011362	Abnormal hair quantity		An abnormal amount of hair. [https://orcid.org/0000-0003-1773-4011]
HP:0000707	Abnormality of the nervous system	The nervous system comprises the neuraxis (brain, spinal cord, and ventricles), the autonomic nervous system, the enteric nervous system, and the peripheral nervous system.	An abnormality of the nervous system. [https://orcid.org/0000-0002-0736-9199]
HP:0011409	Abnormal placental membrane morphology		Structural anomaly of the fetal membranes (also known as the amniochorionic or placental membranes), which comprise a vital intrauterine compartment, where they perform mechanical, immune, and endocrine functions to promote growth of the fetus and protection from environmental adversity. Amniochorionic membranes anatomically consist of a single layer of cuboidal amnion epithelial cells, chorionic trophoblasts, and scattered fibroblasts connected by a layer of type IV collagen-rich extracellular matrix. [PMID:28939208]
HP:0000951	Abnormality of the skin		An abnormality of the skin. [https://orcid.org/0000-0002-0736-9199]
HP:0011389	Functional abnormality of the inner ear	The inner ear comprises the cochlea, three semicircular canals and the vestibule (labyrinth), and is directly responsible for hearing. Additionally, the vestibule and semicircular canals function to maintain balance or equilibrium.	An abnormality of the function of the inner ear. [HPO_CONTRIBUTOR:DDD_dfitzpatrick]
HP:0011368	Epidermal thickening		Thickening of the epidermal layer of the skin. [https://orcid.org/0000-0002-0736-9199]
HP:0011356	Regional abnormality of skin		An abnormality of the skin that is restricted to a particular body region. [https://orcid.org/0000-0003-1773-4011]
